username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Trevornoah,2018-05-02 10:54,374,3392,""The underground railroad would have been a lot more effective if it wasn't for the F train" - Harriet Tubman",,,,"991692528230584320",https://twitter.com/Trevornoah/status/991692528230584320
Trevornoah,2018-04-27 21:14,132,1728,"Bloomington was so dope! Thank you everyone for coming out!https://twitter.com/jamesserrano111/status/990031122103984128 …",,,,"990036569762488320",https://twitter.com/Trevornoah/status/990036569762488320
Trevornoah,2018-04-24 13:37,75,749,"Such a beautiful article on a phenomenal artist.https://twitter.com/hausmuva/status/988806843861520384 …",,,,"988834361553379328",https://twitter.com/Trevornoah/status/988834361553379328
Trevornoah,2018-04-21 13:31,5934,37536,"She called Barry with the good hair...pic.twitter.com/GFrvL9ZA6c",,,,"987745746911879169",https://twitter.com/Trevornoah/status/987745746911879169
Trevornoah,2018-04-19 13:30,105,541,"@ Lupita_Nyongo https://urldefense.proofpoint.com/v2/url?u=http-3A__time.com_collection_most-2Dinfluential-2Dpeople-2D2018_5217611_trevor-2Dnoah_&d=DwMGaQ&c=Wi-qTpn_RgcJBhcTBvE78ikfrezXYPI95JOwqif1l1c&r=ve4Xt5jel19WEUI6HaQ7oQ&m=G2VlP342Z0R4j22h0A-NVb5oNWs8wxSetWAl6PvZuwM&s=109G3hcOIU2mk_AW6vdMv9m41ezRidLh-7zFGkTgE5U&e= …",,@,,"987020723146428416",https://twitter.com/Trevornoah/status/987020723146428416
Trevornoah,2018-04-18 11:39,4880,28384,"Thank you Bill. You handle malaria I'll figure out schools. https://twitter.com/billgates/status/986213433996726273 …",,,,"986630315799171073",https://twitter.com/Trevornoah/status/986630315799171073
Trevornoah,2018-04-15 19:13,101,1713,"Phoenix and Tuscon, thank you for bringing that Arizona heat to the shows this weekend, I had a great time with y'all!",,,,"985657486488363008",https://twitter.com/Trevornoah/status/985657486488363008
Trevornoah,2018-04-11 08:07,683,4009,"https://twitter.com/realdonaldtrump/status/984022625440747520 …",,,,"984040356986662913",https://twitter.com/Trevornoah/status/984040356986662913
Trevornoah,2018-04-07 14:33,12191,24560,"If someone ever sends an assassin after me, I hope they send Raheem Sterling. # ManCityManUtd",,,#,"982687789622931456",https://twitter.com/Trevornoah/status/982687789622931456
Trevornoah,2018-04-06 15:22,2503,16625,"Thank you to the New Nation school and all who attended the launch of the Trevor Noah Foundation. My dream for many years has been to help underprivileged children get the education they deserve and with this initiative we're taking the first steps. # Grateful",,,#,"982337645756985345",https://twitter.com/Trevornoah/status/982337645756985345
Trevornoah,2018-04-05 10:40,563,6084,"I'm so grateful to every person who took the time to listen to my audio book. A year later and we're still on the bestseller list. Thank you!https://www.nytimes.com/books/best-sellers/audio-nonfiction/?module=DropDownNav&action=click&region=navbar&contentCollection=Books&version=MonthlyLists&referrer=https%3A%2F%2Fwww.nytimes.com%2Fsection%2Fbooks&pgtype=Reference&mtrref=www.nytimes.com&gwh=FE8ACCBA6B4438E26DF7DF4AB807030B&gwt=pay …",,,,"981904370295074817",https://twitter.com/Trevornoah/status/981904370295074817
Trevornoah,2018-03-20 08:43,2,36,"that joke was for the both of us!",,,,"976076792485249024",https://twitter.com/Trevornoah/status/976076792485249024
Trevornoah,2018-03-06 01:04,0,23,"Real robot, real fight to the death!",,,,"970902862891974661",https://twitter.com/Trevornoah/status/970902862891974661
Trevornoah,2018-03-04 13:37,329,5476,"Yo Denver. Last night's shows were so much fun. Thank you for joining me and also for bringing all your weed.",,,,"970367549404844032",https://twitter.com/Trevornoah/status/970367549404844032
Trevornoah,2018-03-02 11:23,185,2183,"Blue steel!https://twitter.com/realdonaldtrump/status/969558431802806272 …",,,,"969609102237356032",https://twitter.com/Trevornoah/status/969609102237356032
Trevornoah,2018-02-21 22:05,10182,63852,"I'm in heaven!https://twitter.com/lupita_nyongo/status/966440239622270976 …",,,,"966509246081839105",https://twitter.com/Trevornoah/status/966509246081839105
Trevornoah,2018-02-20 02:10,6530,15529,"I don't care what the people say, he will always be the President of jokes. Farewell Jacob Zuma. Watch the FULL video here: http://bit.ly/2EFu9Oj pic.twitter.com/Dr3ZPo94mL",,,,"965846056104849408",https://twitter.com/Trevornoah/status/965846056104849408
Trevornoah,2018-02-18 06:03,3064,10462,"Please don't remind me, I'm still in mourning.https://twitter.com/avvy_theboy/status/965164255023648768 …",,,,"965179954987196417",https://twitter.com/Trevornoah/status/965179954987196417
Trevornoah,2018-02-17 17:32,3340,15543,"While others just talk Trump is actually doing something! https://twitter.com/thehill/status/964975006806691840 …",,,,"964990844108500992",https://twitter.com/Trevornoah/status/964990844108500992
Trevornoah,2018-02-16 23:45,2180,9539,"https://twitter.com/abc/status/964618578216484865 …",,,,"964722346325102592",https://twitter.com/Trevornoah/status/964722346325102592